"","Simulation","Round","Agent","Choice","Reward","Expectation1","Expectation2","Expectation3","Project1_Tasks","Project2_Tasks","Project3_Tasks","Project1_Rewards","Project2_Rewards","Project3_Rewards","Project1_Work","Project2_Work","Project3_Work","alpha","beta","nAgents","nProjects","nTasks","nRounds"
"86",1,5,14,3,1,0.76153109074427,0.878252205775851,0.988673049141653,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"87",1,5,15,2,1,0.766070471125609,0.92926014562464,0.880833023997499,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"88",1,5,16,1,0.84150635094611,0.883754481248191,0.902018531634225,0.912279515250523,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"89",1,5,17,3,1,0.812453967464181,0.725262953977411,0.99376548321743,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"90",1,5,18,3,1,0.310712668811902,0.861344240021271,0.994869299305719,267,269,274,6.73205080756888,4,6,8,4,6,0.5,0.3,18,3,300,50
"91",1,6,1,3,0.916316223196156,0.351739175617695,0.885294135629212,0.948845892119086,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"92",1,6,2,3,0.916316223196156,0.832122731090002,0.703466048336968,0.944999337139944,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"93",1,6,3,1,1,0.945551955483059,0.711410777507986,0.867030737712655,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"94",1,6,4,1,1,0.932775347452963,0.897079313366299,0.263727635145187,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"95",1,6,5,2,1,0.908362619407556,0.950565394042685,0.696319607784972,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"96",1,6,6,2,1,0.768985561062513,0.970898312752575,0.118368917144835,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"97",1,6,7,2,1,0.874398296604147,0.96270805033742,0.10058200894855,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"98",1,6,8,1,1,0.945332739960539,0.858463505549584,0.866003592818044,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
"99",1,6,9,3,0.916316223196156,0.947369319574375,0.317014764994383,0.957758476264627,262,263,267,5,6,6.41421356237309,5,6,7,0.5,0.3,18,3,300,50
